Filename	Notes	Audio Filename	UK (United Kingdom)	F (France)	D (Germany)	E (Spain)	IT (Italy)
MEMORYCARD_TRC_5_0_5	5.0.5 - When attempting to save with no memory card (PS2) in memory card slot 1:	s	No memory card (8MB) (for PlayStation®2) inserted in MEMORY CARD slot 1.	Pas de memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N°1.	Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1.	No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1.	Nessuna memory card (8MB) (per PlayStation®2) inserita nell'ingresso MEMORY CARD 1.
MEMORYCARD_TRC_5_0_6	5.0.6 - When attempting to save to a memory card (SCPH-1020E) in memory card slot 1:	s	No memory card (8MB) (for PlayStation®2) inserted in MEMORY CARD slot 1.	Pas de memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N°1.	Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1.	No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1.	Nessuna memory card (8MB) (per PlayStation®2) inserita nell'ingresso MEMORY CARD 1.
MEMORYCARD_TRC_5_0_7	5.0.7 - While saving (if an autosave title):	s	"Autosaving data to memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off the console."	"Auto-sauvegarde des données sur la memory card (8MB) (pour PlayStation®2) de la fente pour MEMORY CARD N°1. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Automatische Datensicherung. Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 nicht entfernen und die Konsole nicht resetten oder abschalten.  	"Autoguardando los datos en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Salvataggio automatico dati sulla memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1... Non rimuovere la memory card, non riavviare né spegnere la console!"
MEMORYCARD_TRC_5_0_8	5.0.8 - While saving data that is different from that on the memory card (PS2) or if you suspect the memory card (PS2) has been swapped during play (if an autosave title):	s	Data on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 has changed. Overwrite previous Taz: Wanted data?	Les données sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ont changé. Ecraser les données Taz : Wanted précédentes ?	Daten auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 sind verändert worden. Vorherige Daten überschreiben? 	Los datos en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 han cambiado. ¿Sobrescribir los datos anteriores de Taz: Wanted? 	I dati della memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1 sono cambiati. Vuoi sovrascrivere i precedenti dati di Taz: Wanted?
MEMORYCARD_TRC_5_0_9	5.0.9 - When attempting to save and you suspect the memory card (PS2) may not be inserted properly:	s	Save failed! Check memory card (8MB) (for PlayStation®2)  in MEMORY CARD slot 1 and please try again.	Echec de la sauvegarde ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 et réessayer.	Speichern gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.	¡Error al guardar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.	Salvataggio fallito! Controlla la memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1 e riprova.
MEMORYCARD_TRC_5_1_0	5.1.0 - When attempting to save and you suspect the memory card (PS2) itself may be faulty:	s	Save failed. memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 error!	Echec de la sauvegarde. Erreur de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 !	Speichern gescheitert. Fehler auf Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1!  	¡Error al guardar! Error en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1.	Salvataggio fallito! Errore nella memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1!
MEMORYCARD_TRC_5_1_1	5.1.1 - While saving (not autosave title) to a formatted memory card (PS2) that has enough free space:	s	"Saving data to memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off console."	"Sauvegarde des données sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Speichervorgang. Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 nicht entfernen und die Konsole nicht resetten oder abschalten.  	"Guardando datos en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Salvataggio dati sulla memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1...  Non rimuovere la memory card, non riavviare né spegnere la console!"
MEMORYCARD_TRC_5_1_2	5.1.2 - When attempting to save a filename that already exists on memory card (PS2):	s	Filename already exists. Create new filename or overwrite previous data?	Ce fichier existe déjà. Créer un autre fichier ou écraser les données précédentes ?	Datei existiert bereits. Neue Datei erstellen oder vorherige Daten überschreiben?	El nombre del archivo ya existe. ¿Renombrar el archivo o sobrescribir los datos anteriores?	File già esistente. Vuoi creare un nuovo file o sovrascrivere i dati precedenti?
MEMORYCARD_TRC_5_1_3	5.1.3 - After saving:	s	Save Successful	Sauvegarde réussie	Speichern erfolgreich.	Guardado con éxito.	Salvataggio completato.
MEMORYCARD_TRC_5_1_4	5.1.4 - Cancel save:	s	Cancel save? Y or N	Annuler la sauvegarde ? O ou N	Speichern abbrechen? J oder N	¿Cancelar guardar? S o N	Vuoi annullare il salvataggio? S o N 
MEMORYCARD_TRC_6_0_1	6.0.1 - When offering the user choice of memory card slot:	s	"Please select MEMORY CARD slot.  MEMORY CARD slot 1, MEMORY CARD slot 1, etc..."	"Sélectionner une fente pour MEMORY CARD N°1. Fente pour MEMORY CARD N°1, fente pour MEMORY CARD N°1, etc...."	"Bitte MEMORY CARD-Steckplatz wählen. MEMORY CARD-Steckplatz 1, MEMORY CARD-Steckplatz 1, etc..."	"Por favor selecciona una ranura para MEMORY CARD. ranura para MEMORY CARD 1, ranura para MEMORY CARD 1, etc..."	"Seleziona l'ingresso MEMORY CARD. ingresso MEMORY CARD 1, ingresso MEMORY CARD 1, etc..."
MEMORYCARD_TRC_6_0_2	6.0.2 - When attempting to load from a memory card (PS2) (Containing no Taz: Wanted saved games):	s	No Taz: Wanted save data present on memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1	Pas de données Taz : Wanted sauvegardées sur la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1.	Keine gespeicherten Daten von Taz: Wanted auf der Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 vorhanden.  	No hay datos guardados de Taz: Wanted en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1.	Nessun dato salvato di Taz: Wanted presente sulla memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1.
MEMORYCARD_TRC_6_0_3	6.0.3 - When attempting to load from an unformatted memory card (PS2):	s	Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 is unformatted.	La memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 n'est pas formatée.	Die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 ist nicht formatiert.	La memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 no tiene formato.	Memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1  non formattata. 
MEMORYCARD_TRC_6_0_4	6.0.4 - When attempting to load with no memory card (PS2) in memory card slot 1:	s	No memory card (8MB) (for PlayStation®2) inserted in MEMORY CARD slot 1.	Pas de memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N°1.	Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1.	No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1.	Nessuna memory card (8MB) (per PlayStation®2) inserita nell'ingresso MEMORY CARD 1.
MEMORYCARD_TRC_6_0_5	6.0.5 - When attempting to load from a memory card (SCPH-1020E) in memory card slot 1:	s	No memory card (8MB) (for PlayStation®2) inserted in MEMORY CARD slot 1.	Pas de memory card (8MB) (pour PlayStation®2) insérée dans la fente pour MEMORY CARD N°1.	Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1.	No hay memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1.	Nessuna memory card (8MB) (per PlayStation®2) inserita nell'ingresso MEMORY CARD 1.
MEMORYCARD_TRC_6_0_6	6.0.6 - When attempting to load and you suspect the memory card (PS2) may not be inserted properly:	s	Load failed! Check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and please try again.	Echec du chargement ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 et réessayer.	Laden gescheitert. Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.	¡Error al cargar! Comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.	Caricamento fallito! Controlla la memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1 e riprova.
MEMORYCARD_TRC_6_0_7	6.0.7 -  When attempting to load and you suspect the memory card (PS2) itself may be faulty:	s	Load Failed!  Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 error! 	Echec du chargement ! Erreur de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 !	Laden gescheitert. Fehler auf Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1!  	¡Error al cargar! ¡Error en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1!	Caricamento fallito! Errore nella memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1!
MEMORYCARD_TRC_6_0_8	6.0.8 - After loading:	s	Load Successful	Chargement réussi	Laden erfolgreich.	¡Cargado con éxito!	Caricamento completato.
MEMORYCARD_TRC_6_0_9	6.0.9 - Cancel load:	s	Cancel load? Y or N	Annuler le chargement ? O ou N	Laden abbrechen? J oder N	¡Cancelar cargar! S o N	Vuoi annullare il caricamento? S o N 
MEMORYCARD_TRC_7_0_1	7.0.1 - Use this message if title only supports memory card slot 1:	s	"Checking memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off the console."	"Vérification de la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wird überprüft.  Memory Card (8MB) (für PlayStation®2) nicht entfernen und die Konsole nicht resetten oder abschalten.  	"Comprobando la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Controllo memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1...Non rimuovere la memory card (8MB) (per PlayStation®2), non riavviare né spegnere la console!"
MEMORYCARD_TRC_7_0_2	7.0.2 - Use this message if title supports both memory card slots and/or multitap (for PlayStation®2):	s	"Checking memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off the console."	"Vérification de la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wird überprüft. Memory Card (8MB) (für PlayStation®2) nicht entfernen und die Konsole nicht resetten oder abschalten.  	"Comprobando la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Controllo memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1...Non rimuovere la memory card (8MB), non riavviare né spegnere la console!"
MEMORYCARD_TRC_7_0_3	7.0.3 - Use this message if you suspect memory card (PS2) may not be inserted properly.  If title only supports memory card slot 1:	s	Memory card (8MB) (for PlayStation®2) error!  Please check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.	Erreur de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ! Vérifier la memory card (8MB) (pour PlayStation®2) et réessayer.	Fehler auf Memory Card (8MB) (für PlayStation®2)! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.	¡Error en la memory card (8MB) (para PlayStation®2)! Por favor comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.	Errore nella memory card (8MB) (per PlayStation®2)! Controlla la memory card nell'ingresso MEMORY CARD 1 e riprova. 
MEMORYCARD_TRC_7_0_4	7.0.4  - Use this message if you suspect memory card (PS2) may not be inserted properly. If  title supports  both memory card slots and/or multitap (for PlayStation®2):	s	Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 error!  Please check memory card (8MB) (for PlayStation®2) and try again.	Erreur de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ! Vérifier la memory card (8MB) (pour PlayStation®2) et réessayer.	Fehler auf Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) und versuchen Sie es noch einmal.	¡Error en la memory card (8MB) (para PlayStation®2)! Por favor comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.	Errore nella memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1! Controlla la memory card e riprova.
MEMORYCARD_TRC_7_0_5	7.0.5 - Use this message if you suspect the data on memory card (PS2) may be corrupt.  If title only supports memory card slot 1:	s	Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 error!  Data may be corrupt.	Erreur de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ! Les données sont peut-être corrompues.	Fehler auf Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1! Daten sind möglicherweise beschädigt.  	¡Error en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1! Los datos pueden estar dañados.	Errore nella memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1! I dati potrebbero essere danneggiati.
MEMORYCARD_TRC_7_0_6	7.0.6 - Use this message if you suspect the data on memory card (PS2) may be corrupt.  If title supports both memory card slots and/or multitap (for PlayStation®2):	s	Memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 error!  Data may be corrupt.	Erreur de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ! Les données sont peut-être corrompues.	Fehler auf Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1! Daten sind möglicherweise beschädigt.  	¡Error en la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1! Los datos pueden estar dañados.	Errore nella memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1! I dati potrebbero essere danneggiati.
MEMORYCARD_TRC_8_0_1	8.0.1 - When asking for approval if title only supports memory card slot 1:	s	Are you sure you wish to format memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1? 	Formater la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ?	"Sind Sie sicher, dass Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 formatieren möchten?  "	¿Seguro que quieres formatear la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1?	Sei sicuro di voler formattare la memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1?
MEMORYCARD_TRC_8_0_2	8.0.2 - When asking for approval if title supports both memory card slots and/or multitap (for PlayStation®2):	s	Are you sure you wish to format memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1? 	Formater la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 ?	"Sind Sie sicher, dass Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 formatieren möchten?"	¿Seguro que quieres formatear la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1?	Sei sicuro di voler formattare la memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1?
MEMORYCARD_TRC_8_0_3	8.0.3 - While Formatting a memory card (PS2) if title only supports memory card slot 1:	s	"Formatting memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off console."	"Formatage de la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wird formatiert. Memory Card (8MB) (für PlayStation®2) nicht entfernen und die Konsole nicht resetten oder abschalten.	"Formateando la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Formattazione memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1... Non rimuovere la memory card, non riavviare né spegnere la console!"
MEMORYCARD_TRC_8_0_4	8.0.4 - While Formatting a memory card (PS2) if title supports both memory card slots and/or multitap (for PlayStation®2):	s	"Formatting memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off console."	"Formatage de la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset, ou éteindre la console."	Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 wird formatiert. Memory Card (8MB) (für PlayStation®2) nicht entfernen und die Konsole nicht resetten oder abschalten.	"Formateando la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Formattazione memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1... Non rimuovere la memory card, non riavviare né spegnere la console!"
MEMORYCARD_TRC_8_0_5	8.0.5 - Cancel format:	s	Cancel format? 	Annuler le formatage ?	Formatieren abbrechen?	¿Cancelar formatear?	Vuoi annullare la formattazione?
MEMORYCARD_TRC_8_0_6	8.0.6 - After formatting:	s	Format Successful	Formatage réussi	Formatieren erfolgreich.	Formateado con éxito.	Formattazione completata.
MEMORYCARD_TRC_8_0_7	8.0.7 - After a failed format operation:	s	Format failed! Please check memory card (8MB) (for PlayStation®2) in MEMORY CARD slot 1 and try again.	Echec du formatage ! Vérifier la memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1 et réessayer.	Formatieren gescheitert! Bitte überprüfen Sie die Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1 und versuchen Sie es noch einmal.	¡Error al formatear! Por favor comprueba la memory card (8MB) (para PlayStation®2) de la ranura para MEMORY CARD 1 e inténtalo de nuevo.	Formattazione fallita! Controlla la memory card (8MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1 e riprova.
MEMORYCARD_TRC_9_0_1	9.0.1 - When asking user to choose a save file to delete:	s	Select save file to delete.	Sélectionner le fichier à effacer.	"Wählen Sie eine Datei, die gelöscht werden soll"	Selecciona archivo guardado para borrar.	Seleziona un file salvato da cancellare.
MEMORYCARD_TRC_9_0_2	9.0.2 - When asking for approval of deletion:	s	Delete this save file? 	Effacer ce fichier ?	Diese Datei löschen?	¿Borrar este archivo?	Vuoi cancellare questo file salvato?
MEMORYCARD_TRC_9_0_3	9.0.3 - When asking for approval on a cancel of deletion:	s	Cancel delete? 	Ne pas effacer ?	Löschen abbrechen?	¿Cancelar borrar?	Vuoi annullare la cancellazione?
MEMORYCARD_TRC_9_0_4	9.0.4 - While deleting:	s	"Deleting data. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off console."	"Effacement en cours. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Daten werden gelöscht. Memory Card (8MB) (für PlayStation®2) nicht entfernen und die Konsole nicht resetten oder abschalten..	"Borrando datos. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Cancellazione dati in corso... Non rimuovere la memory card (8MB) (per PlayStation®2), non riavviare né spegnere la console!"
MEMORYCARD_TRC_9_0_5	9.0.5 - After deleting:	s	Delete Successful	Effacement réussi	Löschen erfolgreich.	Borrado con éxito.	Cancellazione completata.
MEMORYCARD_TRC_10_0_1	10.0.1 - When choosing a save file to be overwritten:	s	Select save file to overwrite.	Sélectionner un fichier à écraser	Wählen Sie eine Datei zum Überschreiben.	Selecciona archivo guardado para sobrescribir.	Seleziona un file salvato da sovrascrivere.
MEMORYCARD_TRC_10_0_2	10.0.2 - When asking for overwrite approval:	s	Overwrite save file? 	Ecraser ce fichier ?	Datei überschreiben?	¿Sobrescribir archivo?	Vuoi sovrascrivere il file salvato?
MEMORYCARD_TRC_10_0_3	10.0.3 - While overwriting:	s	"Overwriting data. Do not remove memory card (8MB) (for PlayStation®2), reset, or switch off console."	"Ecrasement des données. Ne pas retirer la memory card (8MB) (pour PlayStation®2), ni appuyer sur reset ou éteindre la console."	Daten werden überschrieben. Memory Card (8MB) (für PlayStation®2) nicht entfernen und die Konsole nicht resetten oder abschalten.	"Sobrescribiendo datos. No extraigas la memory card (8MB) (para PlayStation®2), ni reinicies, o apagues la consola."	"Sovrascrittura dati in corso. Non rimuovere la memory card (8MB) (per PlayStation®2), non riavviare né spegnere la console!"
MEMORYCARD_TRC_10_0_4	10.0.4 - After overwriting:	s	Overwrite Successful	Ecrasement des données réussi	Überschreiben erfolgreich.	Sobrescrito con éxito.	Sovrascrittura completata.
MEMORYCARD_TRC_11_0_1	11.0.1 - When saving to console's internal memory:	s	"Saving data to console's memory. If you do not save to a memory card (8MB) (for PlayStation®2) before resetting or turning off the console, all data will be lost!\n"	"Sauvegarde des données sur la mémoire de la console. Si vous ne sauvegardez pas sur une memory card (8MB) (pour PlayStation®2) avant d'éteindre la console ou d'enclencher reset, toutes les données seront perdues !\n"	"Daten weden in Konsole gespeichert. Falls nicht auf eine Memory Card (8MB) (PlayStation®2) gespeichert wird, bevor die Konsole zurückgestellt oder abgeschaltet wird, gehen die Daten verloren!\n"	"Guardando datos en la memoria de la consola. Si no guardas los datos en una memory card (8MB) (para PlayStation®2) antes de reiniciar o apagar la consola, los perderás. \n"	"Salvataggio dati sulla memoria della console. Se non li salverai sulla memory card (8MB) (per PlayStation®2) prima di riavviare o spegnere la console, tutti i dati verranno persi!\n"
MEMORYCARD_TRC_12_5_8_1		s	No memory card (8MB) (for PlayStation®2) inserted in MEMORY CARD slot 1. At least 175KB free space is required to save game data.	Pas de memory card (8MB) (pour PlayStation®2) dans la fente pour MEMORY CARD N°1. Vous devez disposer d'au moins 175 KB d'espace disponible pour pouvoir sauvegarder le jeu.	"Keine Memory Card (8MB) (für PlayStation®2) in MEMORY CARD-Steckplatz 1. Es werden mindestens 175KB benötigt, um Spieldaten zu speichern."	No hay ninguna memory card (8MB) (para PlayStation®2) en la ranura para MEMORY CARD 1. Se necesitan al menos 175KB libres para guardar los datos del juego.	Nessuna memory card (8 MB) (per PlayStation®2) nell'ingresso MEMORY CARD 1. Per salvare servono almeno 175 KB liberi.
MEMORYCARD_OVERWRITE	If the user puts in a memory card after starting the game without one we have to warn them that they may overwrite previously saved data.	s	Overwrite previous data?	Ecraser la sauvegarde précédente ?	Vorherige Daten überschreiben?	¿Sobrescribir los datos previos?	Vuoi scrivere sopra i vecchi dati?
PS2_CONTROLLER1_REMOVAL	Printed if the player removes the controller from port 1.	s	No controller inserted in controller port 1.\n\nPlease insert a supported controller in controller port 1 and press @(start) to continue.	Pas de manette insérée dans le port de manette n°1. Insérer une manette compatible dans le port de manette n°1 et appuyez sur la touche @(start) pour continuer.	"Kein Controller in Controller-Anschluss 1. Bitte stecke einen Controller in Controller- Anschluss 1 und drücke die @(start) START-Taste, um fortzufahren."	No hay mando en el puerto de mando 1. Inserta un mando admitido en el puerto de mando 1 y pulsa el botón @(start) para continuar.	Nessun controller inserito nell'ingresso controller 1. Inserisci un controller compatible nell'ingresso controller 1 e premi il tasto @(start) per continuare.
PS2_CONTROLLER2_REMOVAL	Printed if the player removes the controller from port 2.	s	No controller inserted in controller port 2.\n\nPlease insert a supported controller in controller port 2 and press @(start) to continue.	Pas de manette insérée dans le port de manette n°2. Insérer une manette compatible dans le port de manette n°2 et appuyez sur la touche @(start) pour continuer.	"Kein Controller in Controller-Anschluss 2. Bitte stecke einen Controller in Controller-Anschluss 2 und drücke die @(start) START-Taste, um fortzufahren."	No hay mando en el puerto de mando 2. Inserta un mando admitido en el puerto de mando 2 y pulsa el botón @(start) para continuar.	Nessun controller inserito nell'ingresso controller 2. Inserisci un controller compatible nell'ingresso controller 2 e premi il tasto @(start) per continuare.
CHEAT_NONE	On-screen text for when all cheats have been disabled.	s	All Cheats Disabled	Tous codes triche désactivés	Alle Cheats ausgeschaltet	Todos los trucos desactivados	Tutti i trucchi disabilitati
CHEAT_OPEN_GALLERY	On-screen text for when the cheat to open all bonus art galleries has been activated.	s	All Galleries Unlocked	Toutes galeries déverrouillées	Alle Galerien freigeschaltet	Todas las galerías desbloqueadas	Tutte le gallerie sbloccate
CHEAT_OPEN_BOSS_GAME	On-screen text for when the cheat to open all bonus 2 player boss games has been activated.	s	All 2 Player Boss Games Unlocked	Toutes parties de boss à 2 joueurs déverrouillées	Alle 2-Spieler Endspiele freigeschaltet	Todos los juegos de jefe de 2 jugadores desbloqueados	Tutte le modalità multigiocatore sbloccate
CHEAT_OPEN_BONUS_GAMES	On-screen text for when the cheat to open all single player bonus games has been activated.	s	All Bonus Games Unlocked	Tous jeux bonus déverrouillés	Alle Bonusspiele freigeschaltet	Todas las partidas extras desbloqueadas	Tutte le modalità bonus sbloccate
CHEAT_DIGITALWATCH	On-screen text for when the cheat to give Taz a working digital watch has been activated.	s	Watch Active	Montre activée	Uhr aktiviert	Reloj activo	Orologio attivo
CHEAT_TURBO	On-screen text for when the cheat to put the game into turbo mode has been activated.	s	Turbo Mode	Mode turbo	Turbo-Modus	Modo Turbo	Modalità turbo
CHEAT_SLOWMO	On-screen text for when the cheat to put the game into slow motion has been activated.	s	Slow-Mo	Ralenti	Zeitlupe	Movimiento lento	Slow-motion
CHEAT_SUPERSLOWMO	On-screen text for when the cheat to put the game into super slow motion has been activated.	s	Super Slow-Mo	Super ralenti	Superzeitlupe	Movimiento súper-lento	Super slow-motion
CHEAT_INVISIBLE	On-screen text for when the cheat to make Taz invisible has been activated.	s	Invisibility	Invisibilité	Unsichtbarkeit	Invisibilidad	Invisibilità
CHEAT_INVINCIBLE	On-screen text for when the cheat to make Taz invincible has been activated.	s	Invincibility	Invincibilité	Unbesiegbarkeit	Invencibilidad	Invincibilità
